uid,mid,rating,ts
1,19995,7.2,1112486027
1,285,6.9,1112484676
1,206647,6.3,1112484819
1,49026,7.6,1112484727
1,49529,6.1,1112484580
1,559,5.9,1094785740
1,38757,7.4,1094785734
1,99861,7.3,1112485573
1,767,7.4,1112484940
1,209112,5.7,1112484826
1,1452,5.4,1112484703
1,10764,6.1,1112484767
1,58,7,1112484798
1,57201,5.9,1094785709
1,49521,6.5,1112485980
1,2454,6.3,1112484603
1,24428,7.4,1112485557
1,1865,6.4,1112484661
1,41154,6.2,1094785691
1,122917,7.1,1094785621
1,1930,6.5,1094785598
1,20662,6.2,1112486013
1,57158,7.6,1112485480
1,2268,5.8,1094785665
1,254,6.6,1112485375
1,597,7.5,1112484669
1,271110,7.1,1112485453
1,44833,5.5,1112485701
1,135397,6.5,1112484609
1, {'credit_id': '55492453c3a36841b600031f', 'id': 1463387,1112484690
1,37724,6.9,1112484742
1,558,6.7,1112484624
1,68721,6.8,1112484560
1,12155,6.4,1112484642
1,36668,6.3,1112484815
1,62211,7,1094785977
1,8373,6,1094786082
1,91314,5.8,1112484810
1,68728,5.7,1094785994
1,102382,6.5,1112484637
1,20526,6.3,1112485401
1,49013,5.8,1112485567
1,44912,5.1,1094785759
1,10193,7.6,1112485382
1,534,5.9,1094785994
1,168259,7.3,1112485440
1,72190,6.7,1094786113
1,127585,7.5,1112484735
1,54138,7.4,1112485371
1,81005,5.5,1094785986
1,64682,7.3,1112485525
1,9543,6.2,1094785720
1,68726,6.7,1094786062
1,38356,6.1,1112484990
1,217,5.7,1094786056
1,105864,6.6,1094786158
1,62177,6.7,1112485419
1,188927,6.6,1094785764
1,10681,7.8,1094785746
1,5174,6.1,1112484913
1,14161,5.6,1112486150
1,17979,6.6,1094785656
1,76757,5.2,1112486201
1,258489,5.5,1112486032
1,411,6.7,1112486098
1,246655,6.4,1112485739
1,155,8.2,1094786087
1,14160,7.7,1094786034
1,15512,6,1112485929
1,1726,7.4,1112485955
1,44826,7,1094786092
1,8487,5.1,1112485789
1,1735,5.2,1112485705
1,297761,5.9,1112485951
1,2698,5.3,1112485887
1,137113,7.6,1112485843
1,9804,5.9,1112485753
1,14869,5.6,1112485486
1,150540,8,1112486122
1,278927,6.7,1094786077
1,10138,6.6,1094785777
1,58595,5.8,1112485447
1,102651,7,1112485988
1,119450,7.3,1112484994
1,79698,4.8,1094786017
1,64686,5.9,1094786148
1,100402,7.6,1094785650
1,10192,6,1112484749
1,158852,6.2,1094786012
1,177572,7.8,1112484759
1,82690,7.1,1112485367
1,5255,6.4,1112485414
1,47933,4.9,1112485697
1,10191,7.5,1112485465
1,296,5.9,1112485433
1,118340,7.9,1112485580
1,157336,8.1,1094785698
1,27205,8.1,1112485825
1,315011,6.5,1112484569
1,49051,7,1112484548
1,9799,6.6,1112485563
1,4922,7.3,1094786143
1,49538,7.1,1112485816
1,131634,6.6,1112484525
1,27022,5.8,1112486094
1,503,5.5,1094786139
1,241259,6.5,1112485734
1,810,6,1112486024
1,68735,6.3,1112484918
1,87101,5.8,1112486138
1,10140,6.2,1094786172
1,676,6.6,1094785727
1,1858,6.6,1112486192
1,1966,5.6,1112485406
1,675,7.4,1112485460
1,674,7.5,1094786104
1,8960,6.2,1112484933
1,6479,6.9,1112486169
1,118,6.7,1112484493
1,2062,7.5,1094785784
1,272,7.5,1112485970
1,10527,6.2,1112485822
1,18360,5.9,1112485880
1,2080,6.2,1094786008
1,605,6.4,1112484983
1,109445,7.3,1112484537
1,604,6.7,1112485731
1,76338,6.8,1112485961
1,76341,7.2,1112486076
1,13448,6.5,1112486007
1,10195,6.6,1112486055
1,13053,6.3,1112484682
1,19585,5.1,1112485858
1,57165,5.5,1112485898
1,62213,5.7,1112486086
1,177677,7.1,1094786132
1,7978,5.5,1112486104
1,5559,5.7,1112485905
1,49444,6.7,1094786108
1,10196,4.7,1112485871
1,956,6.5,1112485720
1,117251,6.4,1112486002
1,50321,5.5,1112484619
1,11619,6,1112486150
1,266647,5.9,1112485713
1,82703,6.7,1094786004
1,652,6.9,1112485502
1,80321,6.4,1094786048
1,36669,5.8,1112485508
1,43074,5.3,1112485984
1,95,6.4,1094786067
1,608,6,1112485786
1,2310,5.5,1112484686
1,140300,6.7,1112486060
1,56292,6.8,1112486127
1,81188,7.1,1094786101
1,7552,5.9,1112485834
1,616,7.3,1112485934
1,147441,5.6,1112484633
1,13475,7.4,1112485923
1,557,6.8,1112485958
1,82702,7.6,1094786161
1,205584,5.3,1112486045
1,10048,4.9,1112484789
1,13183,7,1112486163
1,944,6.3,1112486108
1,1927,5.3,1112484575
1,72559,5.4,1112485819
1,7364,5.7,1112485688
1,2114,5.9,1112485781
1,1771,6.6,1094786027
1,36643,6,1112485493
1,8619,6.9,1112484795
1,50620,6.1,1112485629
1,65759,5.8,1112485748
2,1724,6.1,974820889
2,267935,6,974820598
2,281957,7.3,974820691
2,77950,6.1,974820658
2,44896,6.6,974820776
2,270946,6.5,974821014
2,2503,7.3,974820748
2,9502,6.9,974820598
2,102899,7,974820720
2,101299,7.4,974821014
2,228161,6.8,974820658
2,74,6.2,974820969
2,8961,6.3,974820691
2,417859,6.4,974821014
2,27576,6.2,974820598
2,86834,5.6,974821014
2,17578,6.7,974820598
2,673,7.7,974821014
2,6972,6.3,974820691
2,82700,5,974820659
2,10567,6.2,974821014
2,181533,6.1,974820846
2,38055,6.7,974820598
2,671,7.5,974820943
2,49524,5.4,974820748
2,22,7.5,974820776
2,131631,6.6,974821014
2,591,6.5,974820720
2,172385,6.3,974820969
2,36658,6.8,974820969
2,51497,7.1,974820943
2,58574,7,974820969
2,18823,5.6,974820916
2,861,7.1,974820598
2,1911,6.4,974820969
2,49040,6,974820748
2,415,4.2,974820916
2,8871,6.2,974820720
2,435,6.2,974820659
2, 'id': 1767010, {'credit_id': '58b55b699251410a800093b2',974820659
2,955,5.9,974820659
2,2133,6.2,974820598
2,1979,5.4,974820720
2,87827,7.2,974820598
2,1250,5.2,974820869
2,324668,5.9,974820846
2,9471,5.2,974820659
2,70981,6.3,974820889
2,10996,5.4,974820748
2,68724,6.4,974820776
2,2789,6.3,974821014
2,97020,5.7,974820691
2,7459,5.7,974820720
2,42888,4.9,974820943
2,37834,5.9,974820943
2,75612,6.4,974820889
2,1895,7.1,974820748
2,1894,6.4,974820776
2,585,7.5,974820943
2, 'department': 'Visual Effects', 'job': 'Visual Effects Supervisor',974820916
2,76170,6.3,974820659
3,1893,6.3,944919407
3,49519,6.8,945176048
3,2395,5,944918047
3,12100,5.8,944918018
3,290595,6,945176048
3,98566,5.8,945176099
3,49047,7.3,944919133
3,9619,5.7,945175939
3,308531,5.8,944918444
3,166424,4.4,944917742
3,1593,6.3,945175870
3,254128,6,944917766
3,714,6,945176021
3,2024,6.8,944919366
3,163,6.4,944918500
3,787,6.5,945176005
3,262500,6.2,944918215
3,2567,7,945175820
3,38745,4.9,944919041
3,40805,5.5,945176005
3,53182,6.1,944918047
3,41513,5.5,944897108
3,13700,5.7,944918215
3,262504,5.9,944919671
3,39254,6.6,944917267
3,77931,5.5,945175820
3,1639,4.1,945175750
3,80274,6.6,944917267
3,1571,6.4,944917450
3,120,8,944917494
3,10204,5.7,944917558
3,8489,6.7,944917812
3,10588,4.9,944917912
3,2048,6.7,945175658
3,1495,6.6,945175963
3,10137,5.8,944918310
3,10198,6.7,944918444
3,286217,7.6,944918167
3,1635,6.5,944917797
3,24113,3.7,944918103
3,9679,6.1,944917558
3,98,7.9,944918878
3,180,7.1,944918980
3,672,7.4,944917945
3,36557,7.3,944918800
3,869,5.6,945175784
3,280,7.7,945175784
3,11322,6.5,944918103
3,4982,7.4,944897108
3,36955,6.8,944917420
3,18487,6.2,944917859
3,39451,5.4,944918215
3,27581,6.1,944917797
3,9268,5.6,944919671
3,68718,7.8,944918444
3,10545,6.8,944918047
3,11688,7.2,944917666
3,76163,6.1,944918856
3,2059,6.4,944917691
3,2486,4.9,944918856
3,16523,6.4,945175658
3,116711,6.4,944917371
3,37710,6,944919330
3,9946,5.5,944917294
3,1372,7.3,944918407
3,106646,7.9,944917494
3, 'name': 'Brett Heicher'}, 'gender': 0,944917396
3,414,5.2,944917348
3,563,6.7,944919330
3,83542,6.6,944918378
3,41216,6.5,944917494
3,314,4.2,944919310
3,184315,5.6,944918103
3,9016,7.2,944918292
3,18162,5.3,944918444
